snapshot	elapsed_hours	participant	doctor_status	peers_status	controlled_members	controlled_messages	healthy	full_controlled_state
20260603T215636Z	0.000	local-vps	0	0	4	58	True	False
20260603T215636Z	0.000	hermes-container	255	255	None	None	False	False
20260603T215636Z	0.000	deimos-openclaw-container	255	255	None	None	False	False
20260603T215636Z	0.000	phobos-pi-hermes	0	0	4	58	True	False
20260603T215922Z	0.046	local-vps	0	0	4	58	True	False
20260603T215922Z	0.046	hermes-container	0	0	4	58	True	False
20260603T215922Z	0.046	deimos-openclaw-container	0	0	4	58	True	False
20260603T215922Z	0.046	phobos-pi-hermes	0	0	4	58	True	False
20260603T220505Z	0.141	local-vps	127	127	None	None	False	False
20260603T220505Z	0.141	hermes-container	0	0	4	58	True	False
20260603T220505Z	0.141	deimos-openclaw-container	0	0	4	58	True	False
20260603T220505Z	0.141	phobos-pi-hermes	0	0	4	58	True	False
20260603T220714Z	0.177	local-vps	5	5	None	None	False	False
20260603T220714Z	0.177	hermes-container	0	0	4	58	True	False
20260603T220714Z	0.177	deimos-openclaw-container	0	0	4	58	True	False
20260603T220714Z	0.177	phobos-pi-hermes	0	0	4	58	True	False
20260603T220924Z	0.213	local-vps	0	0	4	58	True	False
20260603T220924Z	0.213	hermes-container	0	0	4	58	True	False
20260603T220924Z	0.213	deimos-openclaw-container	0	0	4	58	True	False
20260603T220924Z	0.213	phobos-pi-hermes	0	0	4	58	True	False
20260603T222623Z	0.496	local-vps	0	0	4	58	True	False
20260603T222623Z	0.496	hermes-container	0	0	4	58	True	False
20260603T222623Z	0.496	deimos-openclaw-container	0	0	4	58	True	False
20260603T222623Z	0.496	phobos-pi-hermes	0	0	4	58	True	False
20260603T223956Z	0.722	local-vps	0	0	4	58	True	False
20260603T223956Z	0.722	hermes-container	0	0	4	58	True	False
20260603T223956Z	0.722	deimos-openclaw-container	0	0	4	58	True	False
20260603T223956Z	0.722	phobos-pi-hermes	0	0	4	58	True	False
20260603T225321Z	0.946	local-vps	0	0	4	58	True	False
20260603T225321Z	0.946	hermes-container	0	0	4	58	True	False
20260603T225321Z	0.946	deimos-openclaw-container	0	0	4	58	True	False
20260603T225321Z	0.946	phobos-pi-hermes	0	0	4	58	True	False
20260603T231032Z	1.232	local-vps	0	0	4	58	True	False
20260603T231032Z	1.232	hermes-container	0	0	4	58	True	False
20260603T231032Z	1.232	deimos-openclaw-container	0	0	4	58	True	False
20260603T231032Z	1.232	phobos-pi-hermes	0	0	4	58	True	False
20260603T234113Z	1.744	local-vps	0	0	4	58	True	False
20260603T234113Z	1.744	hermes-container	0	0	4	58	True	False
20260603T234113Z	1.744	deimos-openclaw-container	0	0	4	58	True	False
20260603T234113Z	1.744	phobos-pi-hermes	0	0	4	58	True	False
20260604T001151Z	2.254	local-vps	0	0	4	58	True	False
20260604T001151Z	2.254	hermes-container	0	0	4	58	True	False
20260604T001151Z	2.254	deimos-openclaw-container	0	0	4	58	True	False
20260604T001151Z	2.254	phobos-pi-hermes	0	0	4	58	True	False
20260604T004224Z	2.763	local-vps	0	0	4	58	True	False
20260604T004224Z	2.763	hermes-container	0	0	4	58	True	False
20260604T004224Z	2.763	deimos-openclaw-container	0	0	4	58	True	False
20260604T004224Z	2.763	phobos-pi-hermes	0	0	4	58	True	False
20260604T011304Z	3.274	local-vps	0	0	4	58	True	False
20260604T011304Z	3.274	hermes-container	0	0	4	58	True	False
20260604T011304Z	3.274	deimos-openclaw-container	0	0	4	58	True	False
20260604T011304Z	3.274	phobos-pi-hermes	0	0	4	58	True	False
20260604T014344Z	3.786	local-vps	0	0	4	58	True	False
20260604T014344Z	3.786	hermes-container	0	0	4	58	True	False
20260604T014344Z	3.786	deimos-openclaw-container	0	0	4	58	True	False
20260604T014344Z	3.786	phobos-pi-hermes	0	0	4	58	True	False
20260604T021418Z	4.295	local-vps	0	0	4	58	True	False
20260604T021418Z	4.295	hermes-container	0	0	4	58	True	False
20260604T021418Z	4.295	deimos-openclaw-container	0	0	4	58	True	False
20260604T021418Z	4.295	phobos-pi-hermes	0	0	4	58	True	False
20260604T024454Z	4.805	local-vps	0	0	4	58	True	False
20260604T024454Z	4.805	hermes-container	0	0	4	58	True	False
20260604T024454Z	4.805	deimos-openclaw-container	0	0	4	58	True	False
20260604T024454Z	4.805	phobos-pi-hermes	0	0	4	58	True	False
